,state,name,energy_consum_per_cap_mil_btu,pop_density,democrat,republican,weather,household_income,income_stderr,WhiteTotalPerc,BlackTotalPerc,IndianTotalPerc,AsianTotalPerc,HawaiianTotalPerc,OtherTotalPerc,HispanicPerc,PercentHighSchoolOrHigher,PercentBachelorsOrHigher,Children_0-18,Adults_19-25,Adults_26-34,Adults_35-54,Adults_55-64,Adults_Over_65,home_broadband
0,AL,Alabama,392,99.2,0.36569990212122333,0.620316431668648,340.7,49936,2423,0.6809,0.2664,0.0052,0.0136,0.0005,0.0334,0.0428,86.0,26.0,0.237,0.087,0.115,0.251,0.135,0.175,80.6
1,AK,Alaska,839,1.3,0.42771952271020497,0.5283314327038078,719.1,68734,3390,0.6458,0.0328,0.1489,0.0623,0.0125,0.0976,0.0704,93.0,30.0,0.259,0.093,0.139,0.246,0.132,0.13,87.4
2,AZ,Arizona,213,62.9,0.49364690614366613,0.4905598103046474,347.5,62283,2291,0.7722,0.045,0.045,0.0331,0.0021,0.1026,0.31320000000000003,87.0,30.0,0.24,0.093,0.121,0.241,0.124,0.182,86.6
3,AR,Arkansas,362,57.9,0.34775061953014963,0.6239572985614432,342.9,49781,2108,0.7672,0.1532,0.0068,0.0152,0.0029,0.0547,0.07469999999999999,87.0,23.0,0.247,0.087,0.115,0.248,0.131,0.173,79.1
4,CA,California,198,253.7,0.6348394689387351,0.3432072362528492,155.9,70489,1233,0.597,0.0579,0.0077,0.1449,0.004,0.1885,0.39030000000000004,83.0,34.0,0.237,0.092,0.137,0.263,0.123,0.149,89.2
5,CO,Colorado,274,55.7,0.5501106714065329,0.4160412563491241,515.4,73034,3562,0.84,0.0416,0.0098,0.0318,0.0015,0.0753,0.21539999999999998,92.0,41.0,0.231,0.089,0.141,0.265,0.126,0.148,90.4
6,CT,Connecticut,206,744.7,0.5926073151568352,0.3918711828833072,424.5,72812,5119,0.7592,0.1072,0.0028,0.0451,0.0003,0.0854,0.1607,91.0,39.0,0.217,0.086,0.113,0.259,0.148,0.177,87.8
7,DE,Delaware,304,508,0.5874300579364167,0.3977487677110555,426.7,65012,3599,0.6876,0.2218,0.0039,0.0387,0.0006,0.0475,0.0923,90.0,32.0,0.218,0.081,0.118,0.242,0.144,0.197,87.9
8,DC,District of Columbia,237,"11,280.00",0.9214969392140692,0.05397321376714795,410.8,85750,2659,0.4127,0.4631,0.003,0.0398,0.0005,0.0808,0.11,91.9,58.5,0.195,0.09,0.216,0.269,0.103,0.127,86.6
9,FL,Florida,204,401.4,0.47861450725442234,0.5121981962250404,237.3,54644,1887,0.7512,0.1607,0.0028,0.0273,0.0006,0.0573,0.2557,88.0,30.0,0.209,0.08,0.114,0.249,0.137,0.211,86.2
