STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003856,1,4.99,0.7,42.7,52.3,33.1
USW00003856,2,5.11,1.0,46.7,57.1,36.4
USW00003856,3,5.39,0.5,54.2,65.5,43.0
USW00003856,4,4.86,0.0,62.9,74.8,51.0
USW00003856,5,4.67,0.0,71.3,82.5,60.2
USW00003856,6,4.06,0.0,78.6,89.1,68.0
USW00003856,7,4.49,0.0,81.3,91.5,71.1
USW00003856,8,3.55,0.0,80.5,91.3,69.7
USW00003856,9,3.49,0.0,74.9,86.5,63.4
USW00003856,10,3.56,0.0,63.9,76.0,51.8
USW00003856,11,4.25,0.0,52.5,63.9,41.2
USW00003856,12,5.87,0.2,45.5,55.0,35.9
