STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USC00500275,1,0.81,13.5,16.5,22.0,10.9
USC00500275,2,0.92,11.9,21.3,27.4,15.1
USC00500275,3,0.71,11.3,26.2,34.1,18.3
USC00500275,4,0.48,5.0,38.1,46.6,29.6
USC00500275,5,0.78,0.4,48.5,57.8,39.3
USC00500275,6,1.04,0.0,56.0,64.6,47.5
USC00500275,7,1.96,0.0,59.5,67.1,52.0
USC00500275,8,3.21,0.0,57.3,64.6,50.0
USC00500275,9,3.19,0.4,49.0,55.9,42.0
USC00500275,10,1.97,3.6,36.0,41.8,30.3
USC00500275,11,1.26,11.5,23.2,28.3,18.1
USC00500275,12,1.27,19.3,18.8,23.9,13.7
