STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003184,1,1.17,,54.8,65.4,44.1
USW00003184,2,1.21,,57.1,68.1,46.1
USW00003184,3,1.09,,62.9,75.0,50.9
USW00003184,4,0.35,,69.6,82.5,56.6
USW00003184,5,0.19,,78.1,91.5,64.7
USW00003184,6,0.03,,87.1,101.5,72.7
USW00003184,7,0.81,,92.4,104.0,80.8
USW00003184,8,0.96,,91.5,102.5,80.5
USW00003184,9,0.71,,86.1,97.5,74.7
USW00003184,10,0.67,,74.5,86.3,62.7
USW00003184,11,0.90,,62.4,74.0,50.8
USW00003184,12,0.81,,53.3,63.9,42.7
