STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003952,1,3.54,1.0,40.6,48.9,32.2
USW00003952,2,3.90,1.7,44.7,53.7,35.8
USW00003952,3,5.13,0.4,53.0,62.5,43.5
USW00003952,4,5.54,0.0,61.7,71.6,51.9
USW00003952,5,5.39,0.0,70.0,79.3,60.7
USW00003952,6,3.40,0.0,78.0,87.2,68.7
USW00003952,7,3.92,0.0,81.4,91.0,71.9
USW00003952,8,3.57,0.0,80.8,90.7,70.8
USW00003952,9,3.05,0.0,73.9,83.9,63.9
USW00003952,10,4.62,0.0,62.9,72.9,52.9
USW00003952,11,4.69,0.1,51.3,60.4,42.3
USW00003952,12,5.10,0.6,43.2,51.2,35.2
