STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003017,1,0.38,,31.7,44.6,18.7
USW00003017,2,0.41,,32.7,45.7,19.7
USW00003017,3,0.86,,41.6,55.7,27.5
USW00003017,4,1.68,,47.8,61.7,33.9
USW00003017,5,2.16,,57.4,71.2,43.6
USW00003017,6,1.94,,68.2,83.4,53.0
USW00003017,7,2.14,,75.1,89.9,60.2
USW00003017,8,1.58,,72.9,87.5,58.3
USW00003017,9,1.35,,64.8,79.6,50.0
USW00003017,10,0.99,,51.1,65.3,37.0
USW00003017,11,0.64,,39.4,52.9,26.0
USW00003017,12,0.35,,31.2,44.0,18.4
