STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00094702,1,3.18,8.5,31.4,38.4,24.4
USW00094702,2,3.12,10.7,33.1,40.5,25.7
USW00094702,3,4.09,7.0,39.9,47.4,32.3
USW00094702,4,4.16,0.9,50.0,58.3,41.7
USW00094702,5,3.58,0.0,60.0,68.4,51.7
USW00094702,6,3.77,0.0,69.6,77.7,61.5
USW00094702,7,3.32,0.0,75.7,83.4,67.9
USW00094702,8,3.98,0.0,74.5,81.9,67.0
USW00094702,9,3.96,0.0,67.6,75.4,59.8
USW00094702,10,3.84,0.1,56.4,64.4,48.3
USW00094702,11,3.11,0.9,46.0,53.6,38.4
USW00094702,12,3.98,5.5,37.0,43.8,30.2
