STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USC00079605,1,3.67,5.3,30.9,37.9,23.8
USC00079605,2,3.03,4.0,33.0,40.9,25.2
USC00079605,3,4.65,1.8,40.8,49.2,32.3
USC00079605,4,4.06,0.0,51.8,61.1,42.5
USC00079605,5,3.76,0.0,61.5,70.6,52.4
USC00079605,6,4.71,0.0,70.6,79.4,61.8
USC00079605,7,5.17,0.0,75.6,84.0,67.2
USC00079605,8,4.39,0.0,73.8,81.9,65.7
USC00079605,9,5.13,0.0,66.8,75.0,58.6
USC00079605,10,4.12,0.0,55.2,63.3,47.0
USC00079605,11,3.25,0.1,44.7,52.5,36.8
USC00079605,12,4.37,0.8,35.9,42.8,29.0
