STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00093738,1,2.94,6.9,33.9,42.6,25.2
USW00093738,2,2.61,7.0,36.4,46.1,26.7
USW00093738,3,3.50,3.9,44.2,54.8,33.6
USW00093738,4,3.47,0.1,55.0,66.8,43.2
USW00093738,5,4.72,0.0,64.0,75.0,53.0
USW00093738,6,4.30,0.0,72.5,83.1,61.9
USW00093738,7,4.15,0.0,77.2,87.6,66.8
USW00093738,8,3.53,0.0,75.7,86.3,65.2
USW00093738,9,3.94,0.0,68.6,79.3,57.9
USW00093738,10,3.65,0.0,56.6,67.8,45.3
USW00093738,11,3.13,0.3,46.0,56.5,35.6
USW00093738,12,3.30,2.8,37.7,46.5,29.0
