STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00053819,1,4.29,,44.9,55.7,34.1
USW00053819,2,4.61,,48.7,60.3,37.1
USW00053819,3,4.90,,55.3,67.9,42.8
USW00053819,4,3.77,,62.4,75.4,49.4
USW00053819,5,3.12,,70.4,82.6,58.2
USW00053819,6,4.45,,77.5,88.2,66.9
USW00053819,7,4.84,,80.8,91.0,70.5
USW00053819,8,3.96,,79.8,89.9,69.7
USW00053819,9,3.52,,74.1,85.1,63.1
USW00053819,10,3.37,,63.6,75.9,51.3
USW00053819,11,3.91,,53.2,65.8,40.6
USW00053819,12,4.56,,47.2,58.1,36.3
