STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00022521,1,1.84,,73.6,80.5,66.8
USW00022521,2,1.94,,73.8,80.5,67.1
USW00022521,3,2.36,,74.7,81.2,68.1
USW00022521,4,0.77,,76.6,83.1,70.1
USW00022521,5,0.82,,78.2,84.8,71.5
USW00022521,6,0.50,,80.3,86.9,73.8
USW00022521,7,0.52,,81.6,88.1,75.1
USW00022521,8,0.84,,82.2,88.8,75.6
USW00022521,9,0.88,,81.6,88.4,74.8
USW00022521,10,1.51,,80.4,86.9,73.9
USW00022521,11,2.25,,78.0,84.1,71.8
USW00022521,12,2.18,,75.5,81.8,69.2
