STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00024131,1,1.41,5.3,32.2,38.8,25.5
USW00024131,2,1.00,3.3,37.5,46.0,29.0
USW00024131,3,1.33,1.2,45.2,55.5,34.9
USW00024131,4,1.23,0.1,50.9,62.3,39.6
USW00024131,5,1.45,0.0,59.9,72.3,47.5
USW00024131,6,0.75,0.0,67.8,81.4,54.1
USW00024131,7,0.21,0.0,77.3,92.7,61.9
USW00024131,8,0.17,0.0,75.8,90.7,60.8
USW00024131,9,0.43,0.0,66.3,80.0,52.6
USW00024131,10,0.81,0.1,53.2,64.8,41.5
USW00024131,11,1.18,2.0,40.3,48.8,31.7
USW00024131,12,1.54,5.6,32.1,38.8,25.4
