STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014819,1,1.48,,26.0,32.7,19.4
USW00014819,2,1.46,,29.7,36.8,22.6
USW00014819,3,1.88,,39.6,47.6,31.7
USW00014819,4,3.57,,50.6,59.9,41.4
USW00014819,5,4.09,,61.5,71.1,52.0
USW00014819,6,4.01,,71.6,80.9,62.3
USW00014819,7,3.55,,76.3,85.0,67.7
USW00014819,8,3.99,,74.5,82.7,66.4
USW00014819,9,2.77,,67.5,76.3,58.8
USW00014819,10,3.48,,54.9,63.4,46.5
USW00014819,11,2.35,,42.0,49.1,35.0
USW00014819,12,1.79,,31.3,37.6,25.0
