STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00093819,1,3.12,8.8,28.5,36.1,20.9
USW00093819,2,2.43,6.0,32.5,40.8,24.2
USW00093819,3,3.69,3.2,42.4,51.9,33.0
USW00093819,4,4.34,0.2,53.6,63.9,43.3
USW00093819,5,4.75,0.0,63.6,73.4,53.7
USW00093819,6,4.95,0.0,72.5,82.0,62.9
USW00093819,7,4.42,0.0,75.8,85.2,66.4
USW00093819,8,3.20,0.0,74.7,84.3,65.0
USW00093819,9,3.14,0.0,67.8,78.2,57.4
USW00093819,10,3.22,0.1,55.5,65.6,45.5
USW00093819,11,3.45,0.8,43.3,51.8,34.9
USW00093819,12,2.92,6.4,33.3,40.4,26.2
