STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014933,1,1.08,9.4,22.3,30.9,13.8
USW00014933,2,1.34,10.2,26.9,35.7,18.0
USW00014933,3,2.17,4.4,39.4,49.2,29.6
USW00014933,4,4.02,1.2,51.3,62.0,40.6
USW00014933,5,5.24,0.2,62.4,72.4,52.3
USW00014933,6,5.26,0.0,72.2,81.9,62.4
USW00014933,7,3.82,0.0,76.0,85.6,66.4
USW00014933,8,4.17,0.0,73.9,83.6,64.2
USW00014933,9,3.18,0.0,66.2,76.9,55.4
USW00014933,10,2.78,0.5,53.2,63.4,42.9
USW00014933,11,1.91,2.7,39.3,48.3,30.2
USW00014933,12,1.58,7.9,27.7,35.9,19.5
