STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003928,1,0.85,2.7,33.2,43.9,22.5
USW00003928,2,1.20,3.6,37.6,48.9,26.3
USW00003928,3,2.30,2.1,47.4,59.1,35.7
USW00003928,4,3.10,0.2,56.5,68.3,44.8
USW00003928,5,5.17,0.0,66.7,77.5,55.9
USW00003928,6,4.93,0.0,76.9,87.9,65.9
USW00003928,7,3.98,0.0,81.5,92.6,70.4
USW00003928,8,4.30,0.0,79.9,91.0,68.8
USW00003928,9,3.05,0.0,71.7,83.3,60.1
USW00003928,10,2.85,0.2,59.0,70.8,47.2
USW00003928,11,1.36,0.8,45.8,57.0,34.7
USW00003928,12,1.22,3.1,35.6,45.8,25.4
