STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00093821,1,3.39,4.5,35.7,43.6,27.8
USW00093821,2,3.41,4.1,39.5,48.3,30.7
USW00093821,3,4.60,2.1,48.4,58.1,38.6
USW00093821,4,4.80,0.1,59.0,69.6,48.5
USW00093821,5,5.18,0.0,68.3,77.8,58.7
USW00093821,6,4.27,0.0,76.4,85.7,67.2
USW00093821,7,4.05,0.0,79.9,89.0,70.8
USW00093821,8,3.71,0.0,78.9,88.4,69.5
USW00093821,9,3.66,0.0,72.0,82.2,61.9
USW00093821,10,3.72,0.1,60.3,70.5,50.1
USW00093821,11,3.42,0.3,48.5,57.6,39.4
USW00093821,12,4.13,2.2,39.6,47.2,32.1
