STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00012916,1,5.18,0.0,54.3,62.5,46.1
USW00012916,2,4.13,0.0,58.0,66.4,49.7
USW00012916,3,4.36,0.0,63.8,72.3,55.3
USW00012916,4,5.22,0.0,70.1,78.5,61.7
USW00012916,5,5.64,0.0,77.1,85.3,69.0
USW00012916,6,7.62,0.0,82.4,90.0,74.7
USW00012916,7,6.79,0.0,83.9,91.4,76.5
USW00012916,8,6.91,0.0,84.0,91.3,76.6
USW00012916,9,5.11,0.0,80.8,88.1,73.5
USW00012916,10,3.70,0.0,72.5,80.6,64.3
USW00012916,11,3.87,0.0,62.4,71.2,53.7
USW00012916,12,4.82,0.0,56.6,64.8,48.4
