STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014764,1,3.50,18.6,24.0,32.4,15.6
USW00014764,2,3.54,16.6,26.2,35.0,17.3
USW00014764,3,4.08,13.6,34.1,42.3,26.0
USW00014764,4,4.41,2.8,44.6,53.8,35.4
USW00014764,5,3.67,0.0,54.9,64.2,45.5
USW00014764,6,4.15,0.0,64.3,73.6,55.0
USW00014764,7,3.43,0.0,70.4,79.5,61.2
USW00014764,8,3.57,0.0,69.2,78.7,59.7
USW00014764,9,3.77,0.0,61.6,71.1,52.1
USW00014764,10,5.25,0.2,50.3,59.5,41.0
USW00014764,11,4.25,2.3,40.0,48.4,31.7
USW00014764,12,4.50,14.6,30.3,38.3,22.4
