STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00093721,1,3.08,6.4,34.3,43.2,25.4
USW00093721,2,2.90,7.5,36.6,46.4,26.9
USW00093721,3,4.01,2.8,44.3,54.8,33.9
USW00093721,4,3.39,0.0,55.0,66.5,43.6
USW00093721,5,3.85,0.0,64.4,75.5,53.3
USW00093721,6,3.98,0.0,73.5,84.4,62.6
USW00093721,7,4.48,0.0,78.3,88.8,67.7
USW00093721,8,4.09,0.0,76.2,86.5,65.8
USW00093721,9,4.44,0.0,69.2,79.7,58.8
USW00093721,10,3.94,0.0,57.4,68.3,46.5
USW00093721,11,3.13,0.1,46.9,57.3,36.5
USW00093721,12,3.71,2.5,38.6,47.5,29.6
