STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014822,1,1.45,,26.1,32.4,19.8
USW00014822,2,1.41,,28.0,35.0,21.0
USW00014822,3,2.02,,36.6,44.9,28.4
USW00014822,4,2.82,,48.1,57.6,38.6
USW00014822,5,3.49,,59.7,69.5,49.8
USW00014822,6,3.10,,69.7,79.2,60.2
USW00014822,7,3.22,,74.2,83.5,64.9
USW00014822,8,3.10,,72.5,81.4,63.7
USW00014822,9,3.09,,65.1,74.3,55.8
USW00014822,10,2.30,,53.0,61.4,44.7
USW00014822,11,2.16,,41.3,48.2,34.4
USW00014822,12,1.73,,31.5,37.2,25.8
