STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003940,1,5.42,0.1,47.0,57.4,36.6
USW00003940,2,5.10,0.0,50.9,62.0,39.8
USW00003940,3,5.68,0.1,57.9,69.4,46.4
USW00003940,4,5.84,0.0,64.9,76.5,53.3
USW00003940,5,4.36,0.0,72.9,83.8,62.1
USW00003940,6,4.43,0.0,79.6,89.9,69.4
USW00003940,7,5.02,0.0,82.1,92.1,72.2
USW00003940,8,4.69,0.0,81.8,92.2,71.5
USW00003940,9,3.48,0.0,76.9,87.8,66.0
USW00003940,10,3.80,0.0,66.2,78.3,54.2
USW00003940,11,4.40,0.0,55.4,67.2,43.6
USW00003940,12,5.13,0.4,49.1,59.6,38.7
