STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003947,1,1.16,4.9,29.0,38.4,19.5
USW00003947,2,1.48,5.9,33.6,43.6,23.6
USW00003947,3,2.36,1.7,44.5,55.4,33.6
USW00003947,4,4.05,0.3,54.6,65.5,43.7
USW00003947,5,5.32,0.0,64.6,75.0,54.3
USW00003947,6,5.25,0.0,74.1,84.2,64.0
USW00003947,7,4.58,0.0,78.2,88.3,68.1
USW00003947,8,4.24,0.0,76.7,87.1,66.3
USW00003947,9,4.04,0.0,68.4,79.2,57.5
USW00003947,10,3.25,0.3,56.4,67.2,45.6
USW00003947,11,2.00,1.1,43.6,53.5,33.6
USW00003947,12,1.57,4.0,33.1,42.3,23.9
