STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00024033,1,0.55,10.6,27.0,36.0,17.9
USW00024033,2,0.57,9.1,29.4,39.2,19.7
USW00024033,3,0.90,8.2,38.0,49.0,26.9
USW00024033,4,1.72,7.5,45.8,56.9,34.7
USW00024033,5,2.36,0.9,55.3,66.9,43.8
USW00024033,6,2.22,0.0,64.7,77.0,52.4
USW00024033,7,1.22,0.0,73.3,87.3,59.3
USW00024033,8,0.87,0.0,71.6,85.8,57.5
USW00024033,9,1.36,0.3,61.4,74.3,48.6
USW00024033,10,1.37,4.5,47.9,58.8,37.1
USW00024033,11,0.60,6.5,36.2,45.7,26.7
USW00024033,12,0.57,9.8,27.6,36.1,19.2
