STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014942,1,0.75,7.2,24.4,33.6,15.2
USW00014942,2,0.95,7.8,28.9,38.6,19.3
USW00014942,3,1.79,3.0,41.0,52.1,30.0
USW00014942,4,3.17,1.0,52.6,64.1,41.1
USW00014942,5,4.66,0.1,63.6,74.6,52.7
USW00014942,6,4.44,0.0,73.9,84.4,63.4
USW00014942,7,3.55,0.0,78.1,88.1,68.0
USW00014942,8,4.60,0.0,75.7,85.8,65.6
USW00014942,9,2.96,0.0,67.6,79.1,56.1
USW00014942,10,2.32,0.5,54.4,65.5,43.2
USW00014942,11,1.45,1.7,40.2,50.3,30.2
USW00014942,12,1.22,5.8,28.7,37.7,19.8
