STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00053123,1,0.67,,48.7,58.0,39.4
USW00053123,2,0.82,,52.5,62.4,42.7
USW00053123,3,0.51,,59.5,70.5,48.5
USW00053123,4,0.23,,66.4,77.9,55.0
USW00053123,5,0.08,,76.0,87.8,64.2
USW00053123,6,0.01,,86.1,98.6,73.7
USW00053123,7,0.13,,91.8,103.8,79.8
USW00053123,8,0.22,,89.8,102.1,77.5
USW00053123,9,0.24,,82.2,94.2,70.2
USW00053123,10,0.35,,69.0,80.5,57.5
USW00053123,11,0.29,,56.2,66.8,45.5
USW00053123,12,0.44,,47.2,56.3,38.0
