STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014710,1,2.44,,25.6,34.1,17.1
USW00014710,2,2.73,,28.2,37.4,19.0
USW00014710,3,3.45,,36.5,45.6,27.4
USW00014710,4,3.33,,48.2,58.9,37.5
USW00014710,5,3.38,,58.9,70.1,47.7
USW00014710,6,4.04,,68.1,78.7,57.6
USW00014710,7,3.30,,73.8,84.1,63.6
USW00014710,8,3.35,,72.2,82.4,62.1
USW00014710,9,3.72,,64.3,74.6,54.1
USW00014710,10,3.88,,52.2,62.1,42.3
USW00014710,11,3.48,,41.5,50.0,32.9
USW00014710,12,3.29,,31.4,39.3,23.5
