STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014734,1,3.42,9.1,32.8,40.0,25.5
USW00014734,2,2.98,10.1,35.1,43.0,27.2
USW00014734,3,4.13,5.6,42.5,50.9,34.2
USW00014734,4,3.87,0.5,53.3,62.6,44.1
USW00014734,5,3.97,0.0,63.3,72.6,53.9
USW00014734,6,4.34,0.0,72.7,81.8,63.6
USW00014734,7,4.66,0.0,78.2,86.9,69.4
USW00014734,8,4.15,0.0,76.4,84.7,68.0
USW00014734,9,3.82,0.0,69.2,77.7,60.7
USW00014734,10,3.79,0.2,57.5,66.0,49.0
USW00014734,11,3.33,0.6,47.0,54.9,39.0
USW00014734,12,4.14,5.4,38.0,44.8,31.2
