STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00023050,1,0.36,1.4,37.4,48.4,26.4
USW00023050,2,0.43,1.5,41.9,54.1,29.8
USW00023050,3,0.46,0.7,49.5,62.8,36.2
USW00023050,4,0.51,0.3,56.8,70.3,43.2
USW00023050,5,0.44,0.0,66.1,79.9,52.4
USW00023050,6,0.57,0.0,76.1,90.4,61.9
USW00023050,7,1.64,0.0,78.9,91.2,66.5
USW00023050,8,1.31,0.0,76.9,88.8,64.9
USW00023050,9,1.15,0.0,70.3,82.5,58.1
USW00023050,10,0.87,0.3,58.4,70.6,46.1
USW00023050,11,0.57,0.9,45.7,57.3,34.1
USW00023050,12,0.53,2.8,36.9,47.3,26.6
