STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00094789,1,3.23,7.5,32.8,39.5,26.2
USW00094789,2,2.76,8.6,34.5,41.7,27.4
USW00094789,3,3.94,4.3,41.1,48.7,33.6
USW00094789,4,3.55,0.6,50.9,58.8,42.9
USW00094789,5,3.66,0.0,60.5,68.4,52.5
USW00094789,6,3.85,0.0,70.2,78.0,62.4
USW00094789,7,3.86,0.0,76.1,83.6,68.7
USW00094789,8,4.11,0.0,75.0,82.2,67.8
USW00094789,9,3.58,0.0,68.4,75.8,61.0
USW00094789,10,3.72,0.0,57.2,64.7,49.8
USW00094789,11,3.07,0.4,46.8,53.8,39.8
USW00094789,12,3.96,4.5,38.3,44.5,32.0
