STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00013881,1,3.49,1.6,42.1,52.3,31.8
USW00013881,2,3.13,1.1,45.7,56.6,34.9
USW00013881,3,3.95,0.3,52.7,64.2,41.2
USW00013881,4,3.84,0.0,61.1,73.2,49.1
USW00013881,5,3.36,0.0,69.0,80.1,58.0
USW00013881,6,3.99,0.0,76.6,86.9,66.2
USW00013881,7,3.74,0.0,80.1,90.3,69.9
USW00013881,8,4.35,0.0,78.6,88.6,68.7
USW00013881,9,3.71,0.0,72.7,82.8,62.6
USW00013881,10,3.16,0.0,61.9,73.3,50.4
USW00013881,11,3.31,0.1,51.4,62.9,39.8
USW00013881,12,3.57,0.4,44.7,54.9,34.5
