STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014914,1,0.71,10.3,9.2,18.2,0.2
USW00014914,2,0.69,8.1,13.4,22.7,4.1
USW00014914,3,1.25,9.2,27.2,36.3,18.1
USW00014914,4,1.54,4.1,43.0,54.1,31.9
USW00014914,5,3.09,0.0,56.6,68.7,44.4
USW00014914,6,4.29,0.0,66.8,78.1,55.6
USW00014914,7,3.07,0.0,70.7,82.1,59.4
USW00014914,8,2.60,0.0,68.8,80.7,56.8
USW00014914,9,2.68,0.0,60.0,72.0,48.1
USW00014914,10,2.17,1.2,45.5,55.8,35.2
USW00014914,11,0.97,6.8,29.5,38.1,20.9
USW00014914,12,0.89,11.7,15.7,24.0,7.5
