STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014821,1,3.00,9.5,29.6,37.1,22.0
USW00014821,2,2.41,7.6,32.5,40.8,24.2
USW00014821,3,3.62,4.1,41.6,51.1,32.0
USW00014821,4,3.85,0.5,53.2,64.1,42.2
USW00014821,5,3.99,0.0,63.3,74.1,52.4
USW00014821,6,4.33,0.0,71.9,82.2,61.6
USW00014821,7,4.67,0.0,75.4,85.4,65.4
USW00014821,8,3.74,0.0,74.0,84.1,63.9
USW00014821,9,3.14,0.0,67.2,77.8,56.5
USW00014821,10,2.90,0.2,55.2,65.5,44.8
USW00014821,11,2.79,1.2,43.6,52.3,35.0
USW00014821,12,3.13,5.1,34.5,41.5,27.4
