STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00003954,1,0.78,,39.1,50.5,27.8
USW00003954,2,0.98,,43.2,55.0,31.3
USW00003954,3,2.04,,52.1,64.0,40.2
USW00003954,4,3.00,,60.4,72.0,48.7
USW00003954,5,4.26,,69.7,80.4,59.1
USW00003954,6,4.83,,78.5,89.0,68.1
USW00003954,7,2.88,,83.9,94.7,73.1
USW00003954,8,3.49,,82.5,93.5,71.4
USW00003954,9,3.00,,74.2,85.2,63.3
USW00003954,10,2.72,,62.4,73.9,50.8
USW00003954,11,1.47,,50.3,61.7,39.0
USW00003954,12,1.27,,40.9,51.4,30.3
