STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00024229,1,5.03,,41.9,47.5,36.2
USW00024229,2,3.68,,44.1,51.5,36.8
USW00024229,3,3.97,,48.3,56.8,39.7
USW00024229,4,2.89,,52.8,62.0,43.7
USW00024229,5,2.51,,59.4,69.3,49.4
USW00024229,6,1.63,,64.2,74.3,54.1
USW00024229,7,0.50,,70.2,81.9,58.5
USW00024229,8,0.54,,70.6,82.3,58.9
USW00024229,9,1.52,,65.4,76.7,54.1
USW00024229,10,3.42,,55.6,64.4,46.7
USW00024229,11,5.45,,47.1,53.5,40.6
USW00024229,12,5.77,,41.6,46.9,36.2
