STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00013739,1,3.13,7.1,33.7,41.3,26.0
USW00013739,2,2.75,8.4,35.9,44.3,27.5
USW00013739,3,3.96,3.6,43.6,52.8,34.3
USW00013739,4,3.47,0.3,54.5,64.7,44.3
USW00013739,5,3.34,0.0,64.3,74.4,54.2
USW00013739,6,4.04,0.0,73.5,83.2,63.9
USW00013739,7,4.38,0.0,78.7,87.8,69.6
USW00013739,8,4.29,0.0,76.8,85.8,67.9
USW00013739,9,4.40,0.0,69.9,78.9,60.9
USW00013739,10,3.47,0.0,58.2,67.2,49.2
USW00013739,11,2.91,0.2,47.4,55.9,38.8
USW00013739,12,3.97,3.5,38.6,46.0,31.2
