STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014765,1,3.96,10.3,30.2,38.3,22.1
USW00014765,2,3.44,10.5,32.0,40.5,23.5
USW00014765,3,4.90,6.4,38.9,47.7,30.2
USW00014765,4,4.29,0.6,49.3,58.9,39.6
USW00014765,5,3.37,0.0,59.1,68.9,49.2
USW00014765,6,3.81,0.0,68.2,77.7,58.8
USW00014765,7,2.91,0.0,74.4,83.6,65.2
USW00014765,8,3.59,0.0,73.0,82.2,63.9
USW00014765,9,4.17,0.0,65.6,74.8,56.5
USW00014765,10,4.18,0.2,54.4,63.8,45.1
USW00014765,11,4.27,1.0,44.5,53.2,35.8
USW00014765,12,4.65,7.6,35.5,43.4,27.6
