STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00013880,1,3.37,0.2,49.5,60.2,38.9
USW00013880,2,3.05,0.1,52.7,63.8,41.6
USW00013880,3,3.35,0.0,58.7,70.1,47.3
USW00013880,4,3.29,0.0,65.8,77.1,54.5
USW00013880,5,3.32,0.0,73.3,83.6,63.0
USW00013880,6,6.21,0.0,79.4,88.5,70.4
USW00013880,7,6.60,0.0,82.5,91.3,73.7
USW00013880,8,6.97,0.0,81.4,89.8,73.1
USW00013880,9,6.01,0.0,76.9,85.4,68.3
USW00013880,10,4.33,0.0,67.8,77.9,57.7
USW00013880,11,2.66,0.0,58.3,69.4,47.1
USW00013880,12,3.35,0.0,52.2,62.7,41.6
