STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00013897,1,4.02,2.0,39.6,49.1,30.1
USW00013897,2,4.47,1.5,43.4,53.8,33.0
USW00013897,3,4.52,0.7,51.5,62.7,40.2
USW00013897,4,4.72,0.0,60.8,72.6,48.9
USW00013897,5,5.02,0.0,69.3,80.4,58.3
USW00013897,6,4.36,0.0,77.1,87.7,66.4
USW00013897,7,4.16,0.0,80.7,90.9,70.5
USW00013897,8,3.79,0.0,79.7,90.4,69.0
USW00013897,9,3.80,0.0,73.1,84.4,61.8
USW00013897,10,3.36,0.0,61.7,73.5,49.9
USW00013897,11,3.86,0.1,50.3,61.4,39.2
USW00013897,12,4.43,0.4,42.7,52.2,33.3
