STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00012960,1,3.76,0.0,53.8,63.8,43.7
USW00012960,2,2.97,0.0,57.7,67.8,47.6
USW00012960,3,3.47,0.0,63.8,74.0,53.6
USW00012960,4,3.95,0.0,70.0,80.1,59.8
USW00012960,5,5.01,0.0,77.4,86.9,67.8
USW00012960,6,6.00,0.0,83.0,92.3,73.7
USW00012960,7,3.77,0.0,85.1,94.5,75.7
USW00012960,8,4.84,0.0,85.2,94.9,75.4
USW00012960,9,4.71,0.0,80.5,90.4,70.6
USW00012960,10,5.46,0.0,71.8,82.8,60.9
USW00012960,11,3.87,0.0,62.0,72.6,51.5
USW00012960,12,4.03,0.1,55.4,65.3,45.6
