STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00024127,1,1.43,12.7,31.4,38.6,24.2
USW00024127,2,1.30,10.7,36.6,44.7,28.6
USW00024127,3,1.75,5.9,45.8,55.3,36.3
USW00024127,4,2.16,2.9,51.8,61.9,41.8
USW00024127,5,1.82,0.1,61.5,72.6,50.4
USW00024127,6,0.95,0.0,71.6,84.1,59.1
USW00024127,7,0.49,0.0,81.1,94.0,68.2
USW00024127,8,0.58,0.0,79.1,91.7,66.6
USW00024127,9,1.06,0.0,68.4,80.6,56.3
USW00024127,10,1.26,0.5,54.6,65.5,43.6
USW00024127,11,1.32,7.0,41.7,50.7,32.8
USW00024127,12,1.40,12.1,32.2,39.0,25.3
