STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014742,1,2.13,21.1,20.9,28.9,12.9
USW00014742,2,1.77,19.3,22.9,31.5,14.3
USW00014742,3,2.24,17.5,32.3,40.9,23.6
USW00014742,4,3.07,4.1,45.6,55.3,35.9
USW00014742,5,3.76,0.0,58.4,69.0,47.8
USW00014742,6,4.26,0.0,67.5,77.6,57.3
USW00014742,7,4.06,0.0,72.4,82.4,62.4
USW00014742,8,3.54,0.0,70.7,80.7,60.7
USW00014742,9,3.67,0.0,62.7,72.6,52.9
USW00014742,10,3.83,0.3,50.3,58.9,41.8
USW00014742,11,2.70,5.7,39.3,46.4,32.1
USW00014742,12,2.50,19.5,28.2,35.0,21.3
