STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00013737,1,3.41,3.2,42.2,50.7,33.6
USW00013737,2,2.90,1.5,44.2,53.4,35.1
USW00013737,3,3.69,0.4,50.7,60.1,41.3
USW00013737,4,3.37,0.0,60.1,70.0,50.1
USW00013737,5,3.78,0.0,68.3,77.4,59.1
USW00013737,6,4.43,0.0,76.7,85.2,68.1
USW00013737,7,6.08,0.0,81.1,89.4,72.8
USW00013737,8,5.88,0.0,79.2,86.9,71.6
USW00013737,9,5.40,0.0,74.0,81.4,66.6
USW00013737,10,3.86,0.0,63.7,72.3,55.1
USW00013737,11,3.10,0.0,53.3,62.1,44.4
USW00013737,12,3.28,1.1,46.1,54.7,37.6
