STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00024233,1,5.78,1.8,42.8,48.0,37.7
USW00024233,2,3.76,2.2,44.0,50.3,37.7
USW00024233,3,4.17,0.4,47.1,54.2,39.9
USW00024233,4,3.18,0.0,51.3,59.3,43.3
USW00024233,5,1.88,0.0,57.5,66.3,48.7
USW00024233,6,1.45,0.0,62.0,71.1,53.0
USW00024233,7,0.60,0.0,67.1,77.4,56.8
USW00024233,8,0.97,0.0,67.4,77.6,57.2
USW00024233,9,1.61,0.0,62.6,71.6,53.6
USW00024233,10,3.91,0.0,53.8,60.5,47.0
USW00024233,11,6.31,0.2,46.5,52.1,40.9
USW00024233,12,5.72,1.7,42.0,47.0,37.1
