STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USC00461579,1,3.47,,32.7,42.5,22.9
USC00461579,2,3.27,,35.7,46.3,25.1
USC00461579,3,4.40,,43.2,55.6,30.9
USC00461579,4,4.12,,54.6,68.1,41.0
USC00461579,5,5.19,,63.5,75.8,51.1
USC00461579,6,4.44,,71.3,82.7,59.8
USC00461579,7,5.79,,74.7,85.8,63.7
USC00461579,8,3.69,,73.4,85.0,61.9
USC00461579,9,3.52,,67.1,79.6,54.6
USC00461579,10,3.11,,55.3,68.4,42.3
USC00461579,11,3.14,,44.5,56.7,32.3
USC00461579,12,4.08,,36.9,46.6,27.2
