STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014839,1,1.79,14.9,24.0,30.9,17.2
USW00014839,2,1.69,11.8,27.1,34.2,20.0
USW00014839,3,2.20,6.7,36.4,44.2,28.7
USW00014839,4,3.86,2.1,46.3,54.7,37.8
USW00014839,5,3.54,0.0,57.1,66.5,47.8
USW00014839,6,4.38,0.0,67.6,76.8,58.4
USW00014839,7,3.40,0.0,73.3,81.9,64.7
USW00014839,8,3.65,0.0,72.3,80.3,64.2
USW00014839,9,3.16,0.0,65.0,73.5,56.4
USW00014839,10,2.78,0.3,53.0,61.3,44.7
USW00014839,11,2.24,2.5,40.4,47.8,33.1
USW00014839,12,1.88,10.4,29.5,36.1,23.0
