STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00024089,1,0.49,9.0,25.1,35.2,15.0
USW00024089,2,0.56,10.9,26.6,37.8,15.4
USW00024089,3,0.84,10.3,35.8,48.8,22.7
USW00024089,4,1.41,10.5,42.3,56.3,28.2
USW00024089,5,2.21,2.6,52.0,66.8,37.1
USW00024089,6,1.34,0.1,62.5,79.6,45.4
USW00024089,7,1.19,0.0,71.0,89.0,53.0
USW00024089,8,0.79,0.0,69.0,86.7,51.4
USW00024089,9,0.95,1.5,58.9,75.6,42.2
USW00024089,10,1.19,7.0,45.3,59.7,30.9
USW00024089,11,0.64,8.9,34.0,45.9,22.0
USW00024089,12,0.61,11.0,24.8,34.7,14.8
