STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00013889,1,3.28,0.0,54.2,65.5,42.9
USW00013889,2,2.86,0.0,57.5,68.9,46.1
USW00013889,3,3.29,0.0,62.4,74.3,50.6
USW00013889,4,2.93,0.0,68.1,79.8,56.4
USW00013889,5,3.42,0.0,74.9,85.9,63.9
USW00013889,6,7.60,0.0,80.3,89.9,70.7
USW00013889,7,6.77,0.0,82.5,91.9,73.2
USW00013889,8,6.88,0.0,82.1,90.8,73.4
USW00013889,9,7.56,0.0,78.8,87.2,70.5
USW00013889,10,4.03,0.0,71.2,80.9,61.5
USW00013889,11,2.00,0.0,62.3,73.2,51.3
USW00013889,12,2.78,0.0,56.7,67.5,45.8
