STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00023174,1,2.86,,57.9,66.3,49.4
USW00023174,2,2.99,,57.9,65.6,50.1
USW00023174,3,1.73,,59.1,66.1,52.2
USW00023174,4,0.60,,61.1,68.1,54.2
USW00023174,5,0.28,,63.6,69.5,57.6
USW00023174,6,0.08,,66.4,72.0,60.9
USW00023174,7,0.04,,69.6,75.1,64.0
USW00023174,8,0.00,,70.7,76.7,64.8
USW00023174,9,0.11,,70.1,76.5,63.7
USW00023174,10,0.49,,67.1,74.4,59.8
USW00023174,11,0.82,,62.3,70.9,53.7
USW00023174,12,2.23,,57.6,66.1,49.1
