STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00012839,1,1.83,0.0,68.6,76.2,61.0
USW00012839,2,2.15,0.0,70.7,78.2,63.2
USW00012839,3,2.46,0.0,73.1,80.6,65.6
USW00012839,4,3.36,0.0,76.7,83.6,69.8
USW00012839,5,6.32,0.0,80.1,86.7,73.4
USW00012839,6,10.51,0.0,82.8,89.3,76.3
USW00012839,7,7.36,0.0,84.1,90.6,77.5
USW00012839,8,9.58,0.0,84.2,90.7,77.7
USW00012839,9,10.22,0.0,83.0,89.0,76.9
USW00012839,10,7.65,0.0,80.1,85.9,74.2
USW00012839,11,3.53,0.0,74.8,81.3,68.3
USW00012839,12,2.44,0.0,71.2,78.2,64.3
