STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00023272,1,4.40,,52.2,57.8,46.6
USW00023272,2,4.37,,54.2,60.4,47.9
USW00023272,3,3.15,,55.5,62.1,48.9
USW00023272,4,1.60,,56.4,63.0,49.7
USW00023272,5,0.70,,57.8,64.1,51.4
USW00023272,6,0.20,,59.7,66.5,53.0
USW00023272,7,0.01,,60.3,66.3,54.4
USW00023272,8,0.06,,61.7,67.9,55.5
USW00023272,9,0.10,,62.9,70.2,55.6
USW00023272,10,0.94,,62.1,69.8,54.4
USW00023272,11,2.60,,57.2,63.7,50.7
USW00023272,12,4.76,,52.5,57.9,47.0
